Subject,Number,Name,Description,Credit Hours
PHY,4020,Computational Methods in Physics and Engineering,"A course designed to introduce the student to modern techniques and algorithms in computational physics, involving solutions of real physical systems using techniques from interpolation, optimization, non-linear least squares, the numerical integration of ordinary and partial differential equations, Monte Carlo methods, Fourier analysis and stability analysis. Applications of these techniques will be selected from the areas of mechanics, optics, modern physics, astrophysics, engineering, signal processing, and electromagnetism. Programming will be carried out in a computer language such as ‘C’ (2.0) or Fortran. (COMPUTER) Lecture two hours, laboratory two hours.",3
PHY,4210,Senior Seminar,"Measurement theory, analysis, interpretation and evaluation of data experiment design and scientific report writing. A limited number of advanced laboratory experiments will be performed which illustrate important concepts and methods. Lecture two hours, laboratory three hours.",4
PHY,4330,Digital Electronics,"This course provides an introduction to digital electronics, with an emphasis on the study of components that are building blocks for digital devices and equipment, especially microcomputers. Emphasis will be placed on the design of combinatorial, sequential, and state machine (ASM) circuits, including simplification by Boolean algebra, Karnaugh maps, and computer-aided tools. Hardware description languages will be used to implement designs on programmable logic devices (PLD). Topics to be covered include: number systems, Boolean algebra, logic families, gates, flip-flops, medium scale integration devices, combinatorial and sequential circuits, ASM, PLD, arithmetic logic units, memory, input-output, D/A, A/D, and a generic CPU. The industry-oriented, hands-on labs involve circuit construction, testing and trouble-shooting using modern test equipment. Lecture three hours, laboratory three hours.",4
PHY,4510,Senior Honors Research and Thesis,"Independent in-depth research and preparation of a thesis on a significant topic in physics, directed by a member of the Department of Physics and Astronomy faculty. A thesis is presented orally and in writing to the department. The course grade is determined by the thesis advisor and the departmental honors committee.",1-3
PHY,4530,4549 - Selected Topics,An opportunity to study a special topic or combination of topics not otherwise provided for in the physics curriculum.,1-4
PHY,4640,Quantum Mechanics,A study of the Schrödinger equation and its solutions for various common potentials.,3
PHY,4730,Analog Systems,"The theory and operation of DC and AC circuits with discrete passive and active components. Included are resistors, capacitors, inductors, diodes, bipolar transistors, field effect transistors, and operational amplifiers. An in-depth analysis of circuit theorems, phasors, differential equations, and simulations predicting the behavior of systems of analog devices will be explored in lecture and laboratory. The use and limitations of common electronics instrumentation such as multimeters, oscilloscopes, and function generators will also be explored. Lecture three hours, laboratory three hours.",4
PHY,4845,Nanoscience and Technology,"A survey of the current state of nanoscience and nanotechnology from both a theoretical and practical standpoint. Topics include, but are not limited to, nano-fabrication, tools (e.g. SEM, STEM, FIB, STM, AFM, etc.), nanomechanics, nanomaterials, Buckyballs and nanotubes, thin films, nano self-assembly, nano-scale heat transfer, thermoelectric devices, and nano-optics. Where applicable, content will be enhanced through direct experience with the available instrumentation.",3
PHY,4860,Physical Principles of Electron Microscopy,"This course provides an overview of the fundamental principles, instrumentation, and methods of scanning electron microscopy, including all electron optical components (electron sources and guns, electron lenses, deflectors, and stigmators) and complete electron optical system physics. This overview is complemented by a thorough investigation of the electron beam-solid interaction physics and the resulting measurable signals. Image formation physics and a wide range of applications including qualitative and quantitative analysis techniques are fully developed in this course.  Lecture three hours, laboratory three hours.",4
PHY,4880,Special Topics in Physics,A course devoted to a single topic.,3
PHY,4900,Internship,Supervised work in applied physics in an industrial or other laboratory setting. Students must obtain approval of the departmental internship coordinator prior to enrolling.,1-12
PS,1100,American National Government and Politics,"A study of the development and operation of the American national government, its powers, organization and policies.",3
PS,1200,Current Political Issues,"A study of the current political issues and problems facing the national government. Problems in such areas as labor, education, the economy, agriculture, equal rights, foreign relations and national security will be analyzed.",3
PS,2120,International Politics and Foreign Policy,"Students will be introduced to a variety of theoretical and normative approaches to the study of international relations. Topics include the causes of war and peace, political economy, international organizations, human rights, and global health and environment.",3
PS,2130,State and Local Government,"An examination of the organization, problems and powers of state and local governments in the United States, focusing upon the responses of states, counties, and municipalities to needs caused by poverty, growth, and social change.",3
PS,2160,Introduction to Public Administration,"A general survey course aimed at introducing the student to the theory and practice of public administration. The course includes an introduction to organization theory, personnel and financial administration, and administrative responsibility. The principal focus is on American public administration, but some comparisons and illustrations from other administrative systems are included.",3
PS,2240,Comparative Politics,"This course introduces students to the comparative study of politics. Topics include the comparative study of power, the state, regime types, political economy, and other issues central to contemporary politics. Case studies of multiple countries examined.",3
PS,2310,Political Ideologies,"A survey of the central ideas of various philosophers from the early Enlightenment to the late Twentieth Century. Special emphasis will be given to a breadth of political ideas and ideologies, stressing the direct relationship between concepts and political life.",3
PS,2320,Immigration and Citizenship,Examines the historic origins of immigration and citizenship in America and assesses the current status of these issues as they apply to diverse and large numbers of individuals and communities in America.,3
PS,2500,Independent Study,,1-3
PS,2610,Asian Politics,This course surveys the politics of East and Southeast Asia. It focuses on the experiences of everyday people dealing with political worlds different from our own. The readings include a mix of fictional and scholarly writing.,3
PS,3110,Political Theory Through Sixteenth Century,"An examination of political theory from approximately 300 B.C. through the sixteenth century. The political philosophers studied include Plato, Aristotle, Cicero, St. Augustine, St. Thomas Aquinas, Machiavelli, Luther, Calvin, and Jean Bodin. Emphasis is placed on historical development of political philosophy.",3
PS,3115,Research Methods,"An introduction to the logic and techniques of social science research with computer applications, examination of the structure of scientific inquiry, methods utilized to analyze information, with emphasis placed upon the interpretation of that information. Lecture three hours, laboratory one hour.",4
PS,3121,International Terrorism,"This course introduces the student to the characteristics of international terrorism, the causes of terrorism, and the control of terrorism. Throughout, students are presented key concepts to which they can refer for analyzing the future of international terrorism.",3
PS,3130,American Political Parties and Interest Groups,"A study of the organization, tactics and functions of political parties and interest groups. A comparison of goals and methods of influencing public policy ranging from the normal to the revolutionary. Campaigning techniques discussed.",3
PS,3150,Constitutional Law,This course is designed to introduce students to the role of the courts (particularly the U.S. Supreme Court) as instruments of change in the United States. The course will examine the powers of the judiciary and the limitations placed on the exercise of the courts’ powers. The courts and their role as interpreters of the Constitution will be seen primarily through an examination of Supreme Court decisions.,3
PS,3210,Political Theory From the Seventeenth Century to the Present,"A study of political thought from the seventeenth century to the present. Political philosophers studied include Hobbes, Locke, Rousseau, Burke, Hegel, Bentham, Marx, and Lenin. Emphasis is placed on the development of nationalism, capitalism, communism, socialism, and fascism.",3
PS,3220,Islam and Politics,"This course examines Islam, the world’s second-largest religion and the fastest growing religion both in the United States and around the world. This class’s goals are to create greater awareness of Islam, how it is practiced, and how it affects politics worldwide. The class is structured as a broad survey of key themes, topics, issues, and countries in the Muslim world.",3
PS,3230,American Legislative Politics,"An examination of the structure, functions and behavior of Congress and state legislatures, with emphasis on how composition, leadership, constituency role orientations and interest groups actively influence public policy. The legislative institutions are also viewed in relationship to larger environments and inclusive political systems.",3
PS,3280,Public Policy Analysis,"A study of the policy-making process, with special attention to the various factors that influence policy choices in the American government and an examination of the procedures for evaluating actual and alternative public policy programs.",3
PS,3320,International Organizations,"This course introduces students to the United Nations and other international organizations and their role in international politics, global conflict and problem-solving. Topics include basic facts about the international institutions and functions, as well as the competing positions of various countries within the United Nations or other international institutions on specific issues such as peace keeping, sustainable development, human rights, humanitarian assistance, economic development, and other pressing topics.",3
PS,3330,Urban Politics,"A focus upon politics in urban areas. Topics include the problems of urban government, politics within metropolitan areas, community power structures, and decision-making structures.",3
PS,3370,"Voting, Campaigns, and Elections","This class is designed to examine the procedures, political actors, and institutions that are involved in American campaigns and elections. Significant attention will be paid to the theories and explanations for why people vote and how they make decisions. The class will focus on the organizations that influence political campaigns, the role that public opinion plays in campaign strategies (and in determining the vote), and the laws under which elections are conducted. While presidential elections are the most visible, we will also focus on congressional and state and local elections, which are equally important in the political process.",3
PS,3410,Marxism,Explores the basic principles and features found within Marxist thought. This includes some discussions of Marx’s immediate predecessors such as Hegel and Feuerbach in post-Marxist socialist and communist literature.,3
PS,3430,North Carolina Politics,"The course will inform students of the institutions and the political actors in North Carolina, and the role those institutions and actors play in “politics.” Included are the NC General Assembly, the Executive Office and Cabinet Departments, and effects from and upon the NC Judiciary. The policies that come from this “arena of politics” will be a focus of study.",3
PS,3431,Civil Rights Movements and American Politics,"Traces the principles, policies, and practices that led to the rise of civil rights movements in American society and examines how these movements shape American public policy.",3
PS,3435,Southern Politics,"An examination of continuity and change in modern southern politics. This course features identity, race, electoral rules and administration, and partisan realignment in the US South.",3
PS,3500,Independent Study,,1-3
PS,3510,Junior/Senior Honors Seminar,An intensive study of a selected topic in political science. Course content will be determined by the instructor. The course will satisfy one of the area requirements for political science majors. Enrollment by invitation of the honors committee.,3
PS,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
PS,3530,3549 - Selected Topics,,1-4
PS,3550,Judicial Decision-Making,"This course is designed to expose students to the theories and research that explain why judges make the decisions they make, and how these decisions interact with the other branches of the American political system. Focusing primarily on the Supreme Court, students in this course will gain an understanding of the roles that the law, politics, and ideology play in guiding decisions of the “least dangerous branch.”",3
PS,3555,Leaders and International Conflict,"The field of political science commonly explains countries’ domestic and foreign policies with arguments about states, regimes, and governments. These approaches miss an important point: political leaders make decisions and, consequently, are responsible for policy. This course draws on a wide range of material to demonstrate how the interaction between leaders’ incentives and policy preferences influence countries’ national policies. The class provides students with an analytic framework that allows them to develop a greater understanding of historical and contemporary politics.",3
PS,3560,American Politics and Gender,"This class is designed as an overview of the field of gender and American politics. It will examine critically the role gender plays in shaping U.S. politics at the individual level and how gender shapes the institutions of the U.S. political system. Our topics and discussions will also examine how gender intersects with other identities (e.g., race, class) to shape experiences and behavior.",3
PS,3565,Comparative Political Economy,"PS 3565 allows students to use concepts from the field of economics, such as incentives and the role of information, to analyze political events. They will also be able to use concepts from the field of Political Science, such as decision rules and the uneven distribution of costs, to analyze economic events.",3
PS,3570,Politics and Film,"This class will include a review of contemporary as well as classic movies. Thematically, our films will cover topics including campaigns and elections, nuclear war, congressional politics, political ambition, racial politics, sexual orientation, local politics, and authoritarianism. After viewing each film, we will assess as a group the degree to which the political portrayal differs from political reality as understood through political science. Where significant discrepancies exist, we will consider the implications of these misrepresentations. We will use the films as vehicles for surveying and better understanding how we understand politics and how the film’s writers, producers, and actors understand politics, and what messages we think were conveyed to public.",3
PS,3580,Feminist Political Theory,"This course examines the various types of feminist political theories that inform contemporary feminist politics. The course considers the following: liberal feminism, radical feminism, women of color feminisms, Marxist and socialist feminism, psychoanalytic feminism and care-based feminism, eco-feminism, existentialist, poststructuralist, and postmodern feminism, third wave and queer feminism. The course will explore the similarities and differences between these feminist political theories, including their historical evolution in relation to feminist politics. Among our guiding questions will be how to understand feminisms, feminists, and their roles in political debates and policy issues today.",3
PS,3590,Political Analytics,"This course introduces students to how political parties, political institutions, and political scientists collect, organize, and synthesize data. Although the scope of this topic is massive, we will focus primarily on learning how to manage and analyze data using so-called language environments, like R. By the end of this course, students should have a good sense of how to use and interpret data using these environments. Successful students will develop the skills to do so by repeated exposure to real-world poll data collected during recent national elections in the United States.",3
PS,3630,Appalachian Politics,"An examination of the fundamental political problems and possibilities for the people in the Appalachian Region. The interrelationships of Appalachia with the larger American political system, political culture, and economy will also be studied.",3
PS,3660,Administrative Law,"A study of the administrative powers and procedures in the United States and of the relevant experiences of some other democracies such as Britain, France with special attention to the legal and administrative methods of achieving a responsible bureaucracy and of balancing public interest with private rights.",3
PS,3722,American Foreign Policy,The course provides students with the foundation to understand the historical and contemporary practice of U.S. foreign policy and familiarizes them with patterns of continuity and change in U.S. foreign policy.,3
PS,3888,Diversity in Justice and Public Affairs,"Critically examines race/ethnicity, gender, religion, sexual orientation, physical or mental ability and other diversity issues within criminal justice, and public affairs. This includes perspectives analyzing human rights, biological diversity, philosophical ethics, linguistic diversity, cultural diversity, and other relevant differences.",3
PS,3900,Fieldwork in Political Science,"Fieldwork in government, community, campaigns, elections, professional offices and agencies coupled with academic analysis of fieldwork and reflective assignments.  The goal of the course is to expand the students’ understanding of interaction between theory and practice.",1-6
PS,3910,"Art, Culture, and Politics","How do the arts and popular culture motivate people to engage in politics? Film, literature, music, theatre, visual arts – many types of artistic expression play a role in politics. This course explores how citizens use the arts and popular culture to resist symbolic domination, recognize cultural differences, mobilize political supporters, and pluralize public discourse. The artists and movements studied span the political spectrum and engage in local-to-global politics. Different instructors may emphasize different art forms.",3
PS,4175,Public Opinion,An examination of attitude and opinion formation within and among publics; the role and impact of government secrecy on opinion; and a study of media as influence mechanisms.,3
PS,4220,Globalization,This course explores the dynamics of globalization and its impact across the globe. Different facets of globalization are examined as well as competing interpretations of the process.,3
PS,4225,International Security,"This course examines the diverse theoretical perspectives within international relations and security studies. The class analyzes each of these perspectives critically, to evaluate their strengths and weaknesses, and to help students formulate their own understanding and explanation of the dynamics of global politics and international security.",3
PS,4230,The Presidency and the Executive Branch,An examination of the central role of the American presidency in the political process. Emphasis is given to the challenges of the contemporary President and the electoral process.,3
PS,4320,War and American Politics,"Explores the rise of America’s military power and how it has reshaped American policies, both domestically and internationally.",3
PS,4370,Political Psychology,"This course will explore a diverse set of topics, such as: how intergroup relations play out in politics; what impact emotion has in formulating (rational) policy preferences; and whether relatively stable characteristics such as authoritarianism and social dominance orientation alter how actors think and behave in the political world. The goal of the course is to encourage students to think critically about the material and to gain an appreciation for interdisciplinary research.",3
PS,4509,Honors Thesis Preparation,Preparation for the honors thesis.,1
PS,4510,Senior Honors Thesis,"An opportunity for undergraduates to perform independent research on a topic of their choosing, with the approval of the honors committee. Work will be supervised by a member of the political science faculty. Feedback will be provided as the honors thesis develops. Enrollment is limited to qualified political science majors.",3
PS,4530,4549 - Selected Topics in Political Science,An intensive examination of selected topics.,1-4
PS,4550,Civil Rights and Liberties,"An examination of the principles and concepts underlying civil rights and liberties in the United States. Features an assessment of U.S. Supreme Court cases and the legal reasoning behind the decisions, balancing the rights of individuals and government interests.",3
PS,4635,Politics of Sport,"An examination of the institutional and social intersections of sports and politics, including economics, race, gender, sexuality, regulation, scandal, and society’s obligation to its athletes.",3
PS,4640,Studies in Regional Political Patterns,An examination of selected regions of the world which have common historical and cultural patterns influencing their political styles and capabilities. Topics may vary from semester to semester.,1-3
PS,4661,Court Administration,"This course is designed to familiarize students with the need for, and approaches to, more effective management of federal and state courts. Topics include court reform, court unification, caseload management, alternative dispute resolution, personnel management and training, and audio-visual applications in the courts, among others. Prerequisite: junior or senior standing, or permission of the instructor.",3
PS,4670,Environmental Politics,"This course will examine the role that politics and government play in dealing with environmental issues. Its focus is primarily on the U.S. approach to environmental protection, but some attention will be devoted to international environmental relationships such as the Kyoto Protocol. The course will cover the history of environmental policy, the legal and institutional arrangements for environmental protection, major environmental policy actors, current environmental controversies, and global environmental concerns.",3
PS,4675,Politics of Climate Change,"This course introduces students to different perspectives and political debates surrounding climate change. It examines the institutions and political developments aimed at addressing climate change at international, national, and local scales, and reviews different discourses and policy approaches for climate change mitigation and adaptation.",3
PS,4680,Organized Crime,"This course will provide an examination and analysis of views on the phenomena of organized crime and efforts to control it. Attention will be paid to criminal organizations in the United States, their beginnings in other cultural and ethnic backgrounds and their relations with criminal organizations around the world. In today’s world, criminal organizations in other countries and their activities have a major impact on crime in the United States. Therefore, a comparative approach to the subject must be used.",3
PS,4710,American Political Thought,A survey of the diverse political ideas represented in the American state from the colonial period to the present. Special emphasis is given to the political problems that emerge with the process of industrialzation and the movement into a postindustrial economy.,3
PS,4721,Human Rights,"The course surveys the major literature in the field of international human rights. It investigates the questions of ethics, morality and the practice of human rights globally and attempts to address why the issue of international human rights has come to the fore in international politics.",3
PS,4723,International Political Economy,"An examination of the relationship between political and economic activity, the way actors use one to manipulate the other, and the normative choices involved in doing so.",3
PS,4741,European Politics,"This course provides an overview of the political development of Europe since World War II.  We will compare the enduring features of West European politics, such as parliamentary democracy and the welfare state, with the dramatic changes in Eastern Europe, from the Communist seizure of power to the collapse of Communism.  We will also explore the common challenges facing Europe today, such as regional integration and the rise of nationalism.",3
PS,4742,Politics in the Post-Colonial World,Focuses on the efforts of a majority of the world’s governments to meet the twin challenges of participatory politics and of the Global market economy.,3
PS,4743,The European Union,The emergence of the European Union is one of the major events in European history. The course explores the genesis and evolution of the idea of European integration and chronicles its organizational development in the post WWII era. Emphasis is placed on the politics of integration and the emergence of the Union as a major participant in world events.,3
PS,4744,Middle Eastern Politics,"An examination of the political, cultural, economic and social patterns of the Middle East.",3
PS,4745,African Politics,"The course begins with the historical context of African politics. Then, it explores the problems of governance following independence and discusses the contemporary debate between two contending schools of thought in African politics and development: Afro-optimism and Afro-pessimism. It examines Africa’s relations with developing and developed countries as well.",3
PS,4748,Latin American Politics,"Examines Latin American politics in detail covering historical context, political actors, and current issues in Latin America.",3
PS,4800,Political Science Capstone,"The purpose of the course is to provide students with an opportunity to synthesize their knowledge and experiences obtained as a political science major. Over the course of the semester, successful students will develop ways to showcase and highlight their education and achievements.",1
PS,4900,Internship in Public Affairs,"Field work in government, community, professional offices and agencies and involvement in problem solving in these offices and agencies.",3-12
POR,1010,Beginning Portuguese I,"Introduction to basic skills necessary for understanding, speaking, reading and writing Portuguese, with emphasis on the use of functional, communicative language. Open to students with no previous experience in Portuguese.",3
POR,1020,Beginning Portuguese II,"Continuation of skills development in understanding, speaking, reading, and writing Portuguese with emphasis on the use of functional, communicative language.",3
POR,1040,Intermediate Portuguese I,"Focus on various aspects of culture, society, literature, traditions, and daily preoccupations through continued development of communicative language skills. Reinforcement, expansion and synthesis of concepts of language and culture through contact with authentic materials.",3
POR,1050,Intermediate Portuguese II,"A continuation of POR 1040 . Focus on various aspects of culture, society, literature, traditions, and daily preoccupations with continued development of communicative language skills. Reinforcement, expansion, and synthesis of concepts of language and culture through contact with authentic materials.",3
POR,2530,2549 - Selected Topics,,1-4
PSY,1200,Psychological Foundations,"This course will focus on the biological and cognitive foundations of individual behavior, as well as the individual in the social context. Research on psychological phenomena will be reviewed to demonstrate the logic of the scientific method, to foster critical thinking, to identify potential shortcomings in interpretations of behavior (e.g., claims presented in the popular media), and to describe linkages to everyday experiences (e.g., aesthetic and perceptual judgments, improved studying, friendship and attraction, and development of political attitudes). Students will have the opportunity to learn how to use empirical data to draw sound conclusions about behavior. Finally, connections to other thematic areas of scholarly inquiry within other disciplines will be presented.",3
PSY,1530,1549 - Selected Topics,An examination of one or more topics drawn from or related to an area of psychology. Topics vary from year to year depending on and guided by the interests of faculty and students.,1-4
PSY,2100,Psychology of Parenting,"The study of social, multicultural, cognitive, and behavioral principles in psychology as applied to the theory and practice of parenting.",3
PSY,2200,Careers in Psychology,An overview of the various career options in the field of psychology and the educational and training experiences required to pursue these options.,1
PSY,2210,Psychology of Human Growth and Development,"The study of research and theory of human physical, cognitive, social and emotional development from conception through maturity. Topics include descriptions of typical human development and application of the principles of developmental psychology.",3
PSY,2211,Psychology of Personality,"Basic principles of personality structure, dynamics, development, assessment, and theory are discussed. Consideration is given to environmental and biological determinants of personality. Students who have previously received credit for PSY 3211  may not enroll in or receive credit for PSY 2211.",3
PSY,2212,Abnormal Psychology,"An overview of the major forms of psychological disorders in children and adults. Emphasis is placed on theory and research related to the classification, description, etiology, and treatment of maladaptive behaviors and psychological disorders. Students who have previously received credit for PSY 3212  may not enroll in or receive credit for PSY 2212.",3
PSY,2213,Survey of Social Psychology,An overview of the basic principles of social psychology. A survey of the research findings and how they may be applied to real world situations. Students who have previously received credit for PSY 3213  may not enroll in or receive credit for PSY 2213.,3
PSY,2305,Psychology of Gender,"An examination of selected psychological theories and research of the effects of gender. Emphasis is placed on the cognitive, biological and sociocultural explanations of gender similarities and differences.",3
PSY,2500,Independent Study,Prerequisite: PSY 1200 .,1-3
PSY,2530,2549 - Selected Topics,An examination one or more topics drawn from and related to a particular area of psychology. Topics vary from year to year depending upon interests of students and faculty.,1-4
PSY,2700,Behavior Change,An introduction to behavior change principles and procedures employed in the helping professions. Instructional and practical experiences focus on the acquisition of communication and problem-solving skills used to manage problem behaviors. Students who have previously received credit for PSY 4700  may not enroll in or receive credit for PSY 2700.,3
PSY,3000,Educational Psychology,"An overview of the development of the student and an analysis of the principles of classroom learning. Applicable theories of child and adolescent development and major concepts, theories, and research in the acquisition of knowledge and interpersonal social skills are emphasized. Special attention is given to the educational application of these principles.",3
PSY,3010,Psychology Applied to Teaching,,3
PSY,3100,Research Methods in Psychology,"Basic research/design concepts such as variables, confounding, causation, levels of measurement, observational research strategies, experimental design and control procedures, and use of descriptive, correlational and inferential statistics will be introduced. Students will have the opportunity to develop competence in conducting literature reviews, report writing in APA style, data collection and analysis. Lecture three hours, laboratory two hours.",4
PSY,3207,Organizational Psychology,"A survey of organizational psychology based on classical and contemporary research. Emphasis is placed on the practical application of principles to problems at the micro (individual, interpersonal, and group) and macro (environmental) levels.",3
PSY,3210,Child and Adolescent Psychology,"An in-depth consideration of contemporary and classic issues and topics from child and adolescent psychology. Emphasis will be on evaluating theory and research, encouraging both understanding and critical thinking about the literature in developmental psychology.",3
PSY,3211,Personality and Individual Differences,"An in-depth examination of the principles underlying personality psychology, including genetic and environmental influences in personality development. Emphases will be on understanding the measurement of dimensions of personality and the methods used in personality psychology research by focusing on the current empirical literature.",3
PSY,3212,Psychopathology,"An in-depth review of the major forms of psychopathological conditions across the lifespan. Emphasis is placed on theory, research, and original empirical readings related to the classification, description, etiology, and treatment of maladaptive behaviors and psychological disorders.",3
PSY,3213,Social Psychology,An intensive investigation of core principles in social psychology with thoughtful consideration of basic and applied research in the area as well as application to real world issues. Course will involve empirical readings related to major topical areas in the field.,3
PSY,3214,Principles of Learning,"A survey of the basic principles, mechanisms, and theories of learned behaviors. Emphasis is placed on basic learning processes associated with Pavlovian and operant conditioning discovered through research with nonhuman animals.",3
PSY,3215,Perception,A survey of basic principles and mechanisms of perception. Visual and auditory perceptual systems are emphasized.,3
PSY,3216,Biological Psychology,"A survey of the physiological, anatomical, and chemical correlates of behavior. Topics will include basic processes associated with these course components as well as discussion of how these processes are related to various neurological disorders.",3
PSY,3217,Cognitive Processes,"A survey of classical and modern theories of human thought processes as they relate to performance in memory tasks, concept learning, and problem solving.",3
PSY,3218,Adult Development,"An in-depth examination of development in adulthood, with coverage of physical, social, and psychological change over time. Emphasis will be on evaluating current theory and research, encouraging both understanding and critical thinking about the extant literature on the psychology of adulthood. Prerequisite or corequisite: PSY 3100  or permission of the instructor.",3
PSY,3500,Independent Study,Prerequisite: PSY 1200 .,1-4
PSY,3511,Honors Colloquium,"In depth study of selected topic(s) in psychology, encouraging independent scholarship in writing and discussion. Enrollment is by invitation of the department or by application.",3
PSY,3512,Honors Colloquium,"In depth study of selected topic(s) in psychology, encouraging independent scholarship in writing and discussion. Enrollment is by invitation of the department or by application.",3
PSY,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
PSY,3525,Peer Academic Advising,A guided experience in the university-level academic advising process through supervised direct participation in advising center work.,1
PSY,3530,3549 - Selected Topics,In depth examination of specialized areas of psychology. Topics vary from year to year depending upon the interests of students and faculty.,1-4
PSY,3650,Cross-Cultural Psychology,"This course examines the extent to which the theory and application of psychology transfer across cultures. Emphasis will be placed on the limitations of psychological theories as they apply to individuals from non-Western cultures. The course will provide an overview of major differences in terms of cognitive, developmental, clinical, social, and personality psychology.",3
PSY,3653,Health Psychology,"A survey of major physical disabilities including cardiovascular disease, diabetes, Aids, cancer, pain, obesity, eating disorders, and injury using a behavioral medicine orientation. Behavioral medicine represents a multidimensional approach to integrating behavioral and biomedical information in determining disease etiology and in prescribing comprehensive treatment.",3
PSY,4001,Research Assistant,A supervised experience in which the student does psychological research on a faculty member’s project under the direction of a faculty member.,1-3
PSY,4002,Supervised Research,A supervised experience in which the student does psychological research under the direction of a faculty member. The project will be developed by the student in consultation with their supervisor and should be considered the student’s project.,1-3
PSY,4005,Service Learning in Psychology,"During engagement in a faculty-planned service experience, students will have the opportunity to learn about, discuss, apply, and reflect on psychological concepts and principles relevant to their particular service experience.",1-3
PSY,4019,Preparing Psychology Majors for the Workforce,"This course will focus on identifying the work-ready competencies undergraduate psychology majors develop in their coursework, and help students map their ability profiles, explore their vocational options, and develop a professional network and materials to highlight, market, and leverage their competencies to gain employment and advance their careers.",1
PSY,4020,Applying to Graduate School,This class is intended for psychology majors to step students through the process of applying to graduate school starting with deciding on what type of program to apply to and ending with a completed application. Also included are other options that exist besides graduate school.,1
PSY,4206,Industrial Psychology,"A survey of the field of human resource management based on fundamental psychological principles and psychometric theory. Topics considered include job analysis and evaluation, performance appraisal, and personnel selection.",3
PSY,4207,Evolutionary Psychology,"This course examines how human thinking, motivation, behavior, and social relationships can be understood from the perspective that many aspects of human behavior involve sets of processes designed by natural selection to solve adaptive problems faced by our evolutionary ancestors. Key topics may include: problems of survival, long-term mating, sexuality, parenting, kinship, cooperation, aggression and warfare, conflict between the sexes, status, prestige, social dominance, and how evolutionary theory can provide a unified approach to understanding the different branches of psychology.",3
PSY,4208,Forensic Psychology,An in-depth study of the ways in which psychology and the law interact. Topics will include a study of the way in which researchers and mental health professions contribute to legal issues as well as the ways in which research and mental health practice are governed by the law.,3
PSY,4210,Developmental Psychology Laboratory,"A laboratory course providing hands-on experience conducting research in the field of developmental psychology. Students will learn about methodological and statistical techniques used to study topics within the field, with the opportunity to work with data concerning child, adolescent, and/or adult development.",1
PSY,4211,Personality Laboratory,Practical application of theory and empirical findings in personality psychology. Methods of personality assessment will be critically examined. Students will generate testable hypotheses and design and implement correlational and experimental research studies informed by basic principles of personality theory.,1
PSY,4213,Social Psychology Laboratory,Lab activities designed to provide experiential learning through hands-on experimental participation in the field of social psychology. Both classic and novel theories will be examined using the scientific method. Students will work from theoretical assumptions to generate hypotheses that will be empirically examined.,1
PSY,4214,Learning Laboratory,"A laboratory course designed to establish an understanding of basic procedures used to investigate classical and operant conditioning. Laboratory modules address how various principles of learning (e.g., effects of reinforcement, contiguity, contingency, etc.) affect the acquisition and performance of Pavlovian and operant behavior. Students will conduct research on human and non-human subjects, analyze the obtained data, and summarize their findings in laboratory reports conforming to APA style.",1
PSY,4215,Perception Laboratory,"A laboratory course providing classic and current experimental paradigms used to address questions in the psychology of perception, and exposure to experiment design, data collection and analysis, and report writing.",1
PSY,4216,Biological Psychology Laboratory,"A laboratory course providing activities in biological psychology including basic neuroanatomy and histology, some laboratory skill training, and exposure to behavioral and neuroscience research methods, experiment design, data collection and analysis, and report writing.",1
PSY,4217,Cognitive Psychology Laboratory,"A laboratory course providing exposure to classic and current experimental paradigms used to address questions in cognitive psychology, and exposure to experiment design, data collection and analysis, and report writing.",1
PSY,4220,Community Psychology,"A survey of community psychology principles and practice, including a review of basic community research methodologies. Course will require participation in a community research or program development project.",4
PSY,4240,Suicide and Self-injury,This course provides an overview of the scientific study of suicide and self-injury and the prevention and management of these behaviors.,3
PSY,4511,Senior Honors Thesis I,Independent study and research leading to proposal of an honors thesis; directed by a member of the psychology department. The student will register for this course during the semester prior to the final semester as an undergraduate. Enrollment by qualified applicants only.,1
PSY,4512,Senior Honors Thesis II,Independent study and research leading to completion of an honors thesis; directed by a member of the psychology department. The student will register for this course during the final semester as an undergraduate. Enrollment by qualified applicants only.,2
PSY,4530,4549 - Selected Topics,An opportunity for in depth study of a special topic or combination of topics not otherwise provided for in the Psychology curriculum. Topics vary from year to year depending upon the interests of students and faculty.,1-4
PSY,4562,Psychology of Adulthood and Aging,"Overview of the Psychology of Aging, with coverage of sensory, cognitive, and socio-emotional changes relevant to applied professions. Emphasis will be on applications of existing theory and research, and on encouraging an understanding of how to understand and interact with adults of all ages.",3
